timestamp,residual_load,total_load,solar,wind_onshore,wind_offshore,wind_total,weather_temperature,weather_wind_100m,weather_radiation,weather_temperature_forecast,weather_wind_100m_forecast,weather_radiation_forecast,hour,day_of_week,month,day_of_year,week_of_year,is_weekend,is_holiday,hour_sin,hour_cos,month_sin,month_cos,dow_sin,dow_cos,total_load_lag24,total_load_lag168,solar_lag24,solar_lag168,wind_total_lag24,wind_total_lag168
2021-01-10 23:00:00+00:00,37307.5,53268.0,1.0,12099.25,3860.25,15959.5,-3.162852704958431,18.20911705564346,0.0,-2.059877714277576,23.355558200528183,0.0,23,6,1,10,1,1,0,-0.25881904510252157,0.9659258262890681,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,48876.0,47665.0,1.0,1.0,2978.0,17263.75
2021-01-11 00:00:00+00:00,33923.25,52065.25,1.0,12508.5,5632.5,18141.0,-3.1801293104880015,18.471200388976794,0.0,-2.035411195861637,23.444877132508427,0.0,0,0,1,11,2,0,0,0.0,1.0,0.49999999999999994,0.8660254037844387,0.0,1.0,46785.0,46006.0,1.0,1.0,3510.25,16967.0
2021-01-11 01:00:00+00:00,32448.75,51669.5,1.0,13027.75,6192.0,19219.75,-3.205195106364963,18.657869692774263,0.0,-1.9918180464195188,23.534426152021688,0.0,1,0,1,11,2,0,0,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387,0.0,1.0,45644.0,45800.25,1.0,1.0,4256.25,16780.5
2021-01-11 02:00:00+00:00,31356.0,51378.5,1.0,13797.25,6224.25,20021.5,-3.066018834070451,18.876050072521096,0.0,-1.8943479138193735,23.934216056528484,0.0,2,0,1,11,2,0,0,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387,0.0,1.0,45054.5,45794.75,1.0,1.0,4725.5,16572.25
2021-01-11 03:00:00+00:00,31787.75,52819.75,1.0,14787.75,6243.25,21031.0,-3.102730910542591,18.781982627900845,0.0,-1.7833646210944083,24.88284385945798,0.0,3,0,1,11,2,0,0,0.7071067811865475,0.7071067811865476,0.49999999999999994,0.8660254037844387,0.0,1.0,45497.25,47027.0,1.0,1.0,5366.5,16299.5
2021-01-11 04:00:00+00:00,34477.25,56466.75,1.0,15692.75,6295.75,21988.5,-3.317851514679821,19.39866577663502,0.0,-1.827458488546995,26.035004785069205,0.0,4,0,1,11,2,0,0,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0.0,1.0,45505.75,49611.25,1.0,1.0,5727.5,15981.25
2021-01-11 05:00:00+00:00,40707.25,63861.5,1.0,17230.0,5923.25,23153.25,-3.282446551429199,19.785100210970462,0.0,-1.7663840499150565,27.0746059911598,0.0,5,0,1,11,2,0,0,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387,0.0,1.0,45043.5,55236.25,1.0,1.0,6390.75,16067.75
2021-01-11 06:00:00+00:00,46588.0,70681.0,1.75,18543.25,5548.0,24091.25,-3.3844531714958173,20.37698633636603,0.0,-1.7935712123095842,27.93763764123634,0.0,6,0,1,11,2,0,0,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,0.0,1.0,46513.5,61481.0,1.75,1.25,7000.75,15998.75
2021-01-11 07:00:00+00:00,48802.25,74040.0,186.0,19520.0,5531.75,25051.75,-3.4835396029986656,20.917728523866035,0.0,-1.8315970807278557,28.84365248655676,0.0,7,0,1,11,2,0,0,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,0.0,1.0,49430.75,65082.0,149.0,99.75,7855.75,16274.75
2021-01-11 08:00:00+00:00,47974.75,74801.25,1388.5,20221.5,5216.5,25438.0,-3.2944818128030566,21.816604364451475,10.670254344170404,-1.668834743707348,29.703968363233955,8.427793695118801,8,0,1,11,2,0,0,0.8660254037844387,-0.49999999999999983,0.49999999999999994,0.8660254037844387,0.0,1.0,53296.75,67169.25,1202.5,278.5,8567.25,15998.0
